Dutch,English
de,the
en,and
van,of
is,is
het,it
een,a
in,in
dat,that
ik,I
te,to
op,on
een,one
voor,for
niet,not
je,you
zijn,are
met,with
was,was
aan,on
als,as
ook,also
zijn,his
we,we
er,there
maar,but
zijn,have
hier,here
bij,by
of,or
dan,then
hij,he
me,me
die,that
u,you
nu,now
om,about
over,over
weer,again
worden,become
moet,must
hebben,have
wordt,is going to be
doen,do
heb,have
zou,would
zijn,is
hebt,have
zal,will
gaat,goes
ze,they
door,through
deze,this
gaan,go
kunnen,can
willen,want to
onze,our
maken,make
tijd,time
komen,come
laten,let
nog,still
ja,yes
heeft,has
daar,there
zonder,without
zeggen,say
zo,so
krijgen,get
elkaar,each other
moeten,have to
komt,comes
goed,good
weten,know
ben,am
laten,leave
zien,see
zou,would
zijn,his
hoe,how
allemaal,all
nog,yet
vinden,find
dus,so
geven,give
kijk,look
maken,make
misschien,maybe
alles,everything
verder,further
vind,find
blijven,stay
mijn,my
vooral,especially
tussen,between
meer,more
eerst,first
altijd,always
samen,together
gewoon,just
echt,really
